tweet_id,text,airline_sentiment,airline
1458,"Sitting on the tarmac for 3 hours with @Southwest, this is ridiculous 😊",negative,Southwest
2344,"not the smoothest trip but @Delta staff tried their best, appreciate it !!",positive,Delta
2046,Does anyone know the baggage policy for @Southwest flights !!,neutral,Southwest
2362,"not the smoothest trip but @Delta staff tried their best, appreciate it !!",positive,Delta
2040,@JetBlue sent me a confirmation email for tomorrow's flight,neutral,JetBlue
2082,Looking at @American fares for a trip next month,neutral,American
1491,"@United lost my luggage again, worst airline ever",negative,United
2331,"flight was delayed but @United crew apologized and gave snacks, decent recovery",positive,United
1814,"Sitting on the tarmac for 3 hours with @US Airways, this is ridiculous 😊",negative,US Airways
2167,@Delta sent me a confirmation email for tomorrow's flight,neutral,Delta
1855,"@US Airways cancelled my flight with no notice, absolutely furious",negative,US Airways
1399,Really impressed with @American customer service this week,positive,American
1643,My @American flight was overbooked and they bumped me without warning #travel,negative,American
1735,"@Southwest lost my luggage again, worst airline ever 😊",negative,Southwest
2030,anyone else flying @Southwest out of gate 22 today !!,neutral,Southwest
2299,"thanks @US Airways for losing my bag, exactly what I needed today",negative,US Airways
1562,My @Delta flight was overbooked and they bumped me without warning #travel,negative,Delta
1142,Smooth landing comfy seats on time @US Airways nailed it again !!,neutral,US Airways
1906,"@JetBlue lost my luggage again, worst airline ever",negative,JetBlue
2219,@American plane just pushed back from the gate,neutral,American
1910,My @Delta flight was overbooked and they bumped me without warning,negative,Delta
1674,My @Southwest flight was overbooked and they bumped me without warning #travel,negative,Southwest
1415,Smooth landing comfy seats on time @JetBlue nailed it again #travel,positive,JetBlue
1032,Smooth landing comfy seats on time @Southwest nailed it again !!,positive,Southwest
1597,@American customer service put me on hold for 2 hours,negative,American
1335,"@JetBlue handled my delay well, free snacks and great communication #travel",positive,JetBlue
1992,@Southwest flight 245 departs at 9am from gate B12 !!,neutral,Southwest
1271,@United flight attendants went above and beyond today #travel,positive,United
1623,Never flying @United again after how they treated my family today !!,negative,United
1118,"Kudos to @American staff, so friendly and helpful during my trip 😊",positive,American
2183,"@Delta website was down earlier, back up now I think",neutral,Delta
1953,@United flight 245 departs at 9am from gate B12 !!,neutral,United
1378,Huge thanks to @JetBlue for the smooth check-in and on-time departure,positive,JetBlue
2213,"@United website was down earlier, back up now I think",neutral,United
1346,"@JetBlue made my trip so easy, appreciate the effort !!",positive,JetBlue
1278,"@US Airways made my trip so easy, appreciate the effort",positive,US Airways
2094,anyone else flying @American out of gate 22 today,neutral,American
2241,"Checked in for my @Delta flight, boarding starts at noon #travel",neutral,Delta
2307,wow @JetBlue really outdid themselves this time... 4 hours late and counting,negative,JetBlue
2295,"oh great, @United delayed AGAIN, love spending my life in this airport",negative,United
1302,"shoutout to @American for the free upgrade, made my day #travel",positive,American
1244,Just landed with @JetBlue and the crew was amazing! Best flight ever !!,positive,JetBlue
1046,"@Southwest upgraded me for free, what a great surprise, flying again soon",positive,Southwest
2169,Question for @Southwest can I change my seat assignment online,neutral,Southwest
1708,"@Southwest delayed us 6 hours and gave zero updates, terrible",negative,Southwest
2021,Flying @Southwest tomorrow morning to Chicago for a work trip 😊,neutral,Southwest
1989,"@Delta website was down earlier, back up now I think",neutral,Delta
2259,@United just announced new routes to the Midwest this fall,neutral,United
1333,"honestly @United did a great job today, no complaints at all",positive,United
2160,@United plane just pushed back from the gate,neutral,United
2361,"not the smoothest trip but @Southwest staff tried their best, appreciate it !!",positive,Southwest
1221,Just landed with @American and the crew was amazing! Best flight ever !!,positive,American
2178,Looking at @Southwest fares for a trip next month,neutral,Southwest
1364,Smooth landing comfy seats on time @Southwest nailed it again !!,positive,Southwest
1354,@US Airways flight attendants went above and beyond today,positive,US Airways
1175,Really impressed with @Delta customer service this week,positive,Delta
1240,Best airline experience in years thank you @Delta team #travel,positive,Delta
2266,"Checked in for my @Southwest flight, boarding starts at noon !!",neutral,Southwest
1880,"Sitting on the tarmac for 3 hours with @US Airways, this is ridiculous !!",negative,US Airways
2234,"@Southwest flight was pretty average, nothing special either way",neutral,Southwest
1178,Really impressed with @US Airways customer service this week !!,positive,US Airways
1812,Paid extra for @American and still got squished in a tiny seat #travel,negative,American
1835,@United customer service put me on hold for 2 hours,negative,United
1300,"@Delta made my trip so easy, appreciate the effort #travel",positive,Delta
2057,Does anyone know the baggage policy for @American flights,neutral,American
1600,Never flying @Delta again after how they treated my family today #travel,negative,Delta
1919,"@Southwest charged hidden fees I never agreed to, so frustrated #travel",negative,Southwest
1885,"@American cancelled my flight with no notice, absolutely furious",negative,American
2031,Flying @Delta tomorrow morning to Chicago for a work trip,neutral,Delta
1020,@American flight attendants went above and beyond today !!,positive,American
2118,Does anyone know the baggage policy for @United flights,neutral,United
1681,Paid extra for @American and still got squished in a tiny seat !!,negative,American
1381,Really impressed with @Southwest customer service this week,positive,Southwest
1502,"Sitting on the tarmac for 3 hours with @American, this is ridiculous",negative,American
1940,@Southwest sent me a confirmation email for tomorrow's flight #travel,neutral,Southwest
1398,Huge thanks to @American for the smooth check-in and on-time departure,positive,American
1965,@Southwest just announced new routes to the Midwest this fall #travel,neutral,Southwest
1085,"@American handled my delay well, free snacks and great communication 😊",positive,American
1821,"@Southwest charged hidden fees I never agreed to, so frustrated #travel",negative,Southwest
1892,"Sitting on the tarmac for 3 hours with @Southwest, this is ridiculous #travel",negative,Southwest
1348,Huge thanks to @Southwest for the smooth check-in and on-time departure,positive,Southwest
2245,@United plane just pushed back from the gate !!,neutral,United
1400,"shoutout to @American for the free upgrade, made my day",positive,American
1176,"@Southwest made my trip so easy, appreciate the effort !!",positive,Southwest
2092,"Landed with @Delta, on time as scheduled",neutral,Delta
2391,"@US Airways flight, some good some bad, about what I expected honestly 😊",neutral,US Airways
2038,Flying @US Airways tomorrow morning to Chicago for a work trip 😊,neutral,US Airways
1228,Really impressed with @Delta customer service this week !!,positive,Delta
1152,Best airline experience in years thank you @Southwest team,positive,Southwest
1180,Smooth landing comfy seats on time @United nailed it again,positive,United
1868,"@US Airways crew was so rude to an elderly passenger, unacceptable",positive,US Airways
2131,anyone else flying @United out of gate 22 today !!,neutral,United
1688,"@US Airways cancelled my flight with no notice, absolutely furious",negative,US Airways
1303,Smooth landing comfy seats on time @JetBlue nailed it again,positive,JetBlue
1027,"@Delta made my trip so easy, appreciate the effort !!",positive,Delta
1196,"Kudos to @United staff, so friendly and helpful during my trip",positive,United
1807,"Rude staff at @American check-in counter, never flying them again !!",negative,American
1800,"@US Airways crew was so rude to an elderly passenger, unacceptable !!",negative,US Airways
1493,@Delta customer service put me on hold for 2 hours,negative,Delta
1802,Paid extra for @JetBlue and still got squished in a tiny seat,negative,JetBlue
1725,"@United cancelled my flight with no notice, absolutely furious",negative,United
1588,"worst experience with @JetBlue, missed my connection because of them",negative,JetBlue
1884,"@US Airways charged hidden fees I never agreed to, so frustrated",negative,US Airways
1359,Just landed with @US Airways and the crew was amazing! Best flight ever !!,positive,US Airways
2054,@Southwest flight 245 departs at 9am from gate B12 #travel,neutral,Southwest
1036,"@US Airways made my trip so easy, appreciate the effort !!",positive,US Airways
1777,Never flying @Southwest again after how they treated my family today,negative,Southwest
1125,"@American upgraded me for free, what a great surprise, flying again soon",positive,American
1601,My @Delta flight was overbooked and they bumped me without warning !!,negative,Delta
1072,Just landed with @United and the crew was amazing! Best flight ever !!,positive,United
2372,"@Delta flight, some good some bad, about what I expected honestly",neutral,Delta
1424,@American left my bag behind and won't answer the phone !!,negative,American
1425,@United left my bag behind and won't answer the phone !!,negative,United
1445,My @Delta flight was overbooked and they bumped me without warning,negative,Delta
1794,"Rude staff at @American check-in counter, never flying them again !!",negative,American
1903,"worst experience with @American, missed my connection because of them",negative,American
1007,"shoutout to @United for the free upgrade, made my day",positive,United
1722,"@Delta crew was so rude to an elderly passenger, unacceptable",negative,Delta
1709,"@US Airways delayed us 6 hours and gave zero updates, terrible !!",positive,US Airways
1988,@US Airways sent me a confirmation email for tomorrow's flight !!,neutral,US Airways
1443,"Sitting on the tarmac for 3 hours with @JetBlue, this is ridiculous !!",negative,JetBlue
1345,Loved the legroom and service on my @United flight today !!,positive,United
1463,Paid extra for @JetBlue and still got squished in a tiny seat !!,negative,JetBlue
1225,Really impressed with @US Airways customer service this week,positive,US Airways
2325,"thanks @JetBlue for losing my bag, exactly what I needed today",negative,JetBlue
2172,anyone else flying @US Airways out of gate 22 today,neutral,US Airways
1716,"Sitting on the tarmac for 3 hours with @United, this is ridiculous",negative,United
2242,"@American flight was pretty average, nothing special either way !!",negative,American
1098,Just landed with @JetBlue and the crew was amazing! Best flight ever !!,positive,JetBlue
1102,"shoutout to @Delta for the free upgrade, made my day",positive,Delta
2247,@US Airways flight 245 departs at 9am from gate B12,neutral,US Airways
1481,"@Delta crew was so rude to an elderly passenger, unacceptable",negative,Delta
1297,"@US Airways upgraded me for free, what a great surprise, flying again soon",negative,US Airways
1673,"Rude staff at @Southwest check-in counter, never flying them again #travel",negative,Southwest
1966,Does anyone know the baggage policy for @American flights !!,neutral,American
1522,"@Delta lost my luggage again, worst airline ever !!",negative,Delta
1976,"@US Airways flight was pretty average, nothing special either way",neutral,US Airways
1720,@Southwest customer service put me on hold for 2 hours !!,negative,Southwest
1734,"@American lost my luggage again, worst airline ever #travel",negative,American
1866,"Sitting on the tarmac for 3 hours with @Delta, this is ridiculous",negative,Delta
1642,"@Southwest charged hidden fees I never agreed to, so frustrated",negative,Southwest
1564,"@JetBlue delayed us 6 hours and gave zero updates, terrible",negative,JetBlue
1861,"@United cancelled my flight with no notice, absolutely furious",negative,United
1862,"@United crew was so rude to an elderly passenger, unacceptable #travel",negative,United
1002,"@US Airways made my trip so easy, appreciate the effort",positive,US Airways
1746,"@Delta crew was so rude to an elderly passenger, unacceptable",negative,Delta
1267,Just landed with @Southwest and the crew was amazing! Best flight ever !!,positive,Southwest
2081,@JetBlue plane just pushed back from the gate,neutral,JetBlue
1383,"@Delta handled my delay well, free snacks and great communication 😊",positive,Delta
1567,"@Southwest lost my luggage again, worst airline ever !!",negative,Southwest
1105,Loved the legroom and service on my @United flight today #travel,positive,United
2175,"@US Airways website was down earlier, back up now I think",negative,US Airways
1831,My @Southwest flight was overbooked and they bumped me without warning 😊,negative,Southwest
1519,"@American delayed us 6 hours and gave zero updates, terrible #travel",negative,American
1899,"@American charged hidden fees I never agreed to, so frustrated",negative,American
1680,"worst experience with @JetBlue, missed my connection because of them",negative,JetBlue
1158,@American flight attendants went above and beyond today 😊,positive,American
1336,Loved the legroom and service on my @United flight today !!,positive,United
1718,"@Southwest crew was so rude to an elderly passenger, unacceptable #travel",negative,Southwest
1592,"@United charged hidden fees I never agreed to, so frustrated",negative,United
1997,"@United website was down earlier, back up now I think",neutral,United
1078,"@JetBlue handled my delay well, free snacks and great communication",positive,JetBlue
2015,Looking at @US Airways fares for a trip next month,neutral,US Airways
1607,Never flying @American again after how they treated my family today,neutral,American
2052,Question for @US Airways can I change my seat assignment online !!,neutral,US Airways
1410,"shoutout to @Southwest for the free upgrade, made my day",positive,Southwest
1651,Never flying @US Airways again after how they treated my family today !!,negative,US Airways
1508,"@Delta charged hidden fees I never agreed to, so frustrated",negative,Delta
1655,"@US Airways lost my luggage again, worst airline ever",negative,US Airways
2263,@Southwest plane just pushed back from the gate,neutral,Southwest
1191,"Kudos to @Delta staff, so friendly and helpful during my trip #travel",positive,Delta
2340,"not the smoothest trip but @JetBlue staff tried their best, appreciate it #travel",positive,JetBlue
2352,"not the smoothest trip but @American staff tried their best, appreciate it #travel",positive,American
1338,Smooth landing comfy seats on time @Delta nailed it again,positive,Delta
1484,Paid extra for @United and still got squished in a tiny seat #travel,negative,United
1964,"Checked in for my @Delta flight, boarding starts at noon",neutral,Delta
1154,"shoutout to @Southwest for the free upgrade, made my day",positive,Southwest
1995,@Southwest flight 245 departs at 9am from gate B12,neutral,Southwest
2236,"@US Airways flight was pretty average, nothing special either way !!",neutral,US Airways
1736,@Delta customer service put me on hold for 2 hours,negative,Delta
1646,"Rude staff at @American check-in counter, never flying them again !!",negative,American
2079,"@Delta website was down earlier, back up now I think 😊",neutral,Delta
2137,Flying @United tomorrow morning to Chicago for a work trip,neutral,United
1139,"shoutout to @United for the free upgrade, made my day",positive,United
2262,Flying @US Airways tomorrow morning to Chicago for a work trip !!,neutral,US Airways
1372,"@Southwest handled my delay well, free snacks and great communication #travel",positive,Southwest
1591,"worst experience with @Delta, missed my connection because of them",negative,Delta
1059,Best airline experience in years thank you @United team,positive,United
1304,@Delta flight attendants went above and beyond today #travel,positive,Delta
1095,"Kudos to @US Airways staff, so friendly and helpful during my trip 😊",positive,US Airways
1199,"@Delta handled my delay well, free snacks and great communication #travel",positive,Delta
2343,"flight was delayed but @JetBlue crew apologized and gave snacks, decent recovery !!",positive,JetBlue
1477,"Rude staff at @US Airways check-in counter, never flying them again",negative,US Airways
1930,Looking at @American fares for a trip next month,neutral,American
1682,My @American flight was overbooked and they bumped me without warning #travel,negative,American
2364,"flight was delayed but @Southwest crew apologized and gave snacks, decent recovery",positive,Southwest
1947,Looking at @American fares for a trip next month,neutral,American
1507,"worst experience with @US Airways, missed my connection because of them",negative,US Airways
1654,"@Delta cancelled my flight with no notice, absolutely furious !!",negative,Delta
1143,"shoutout to @Delta for the free upgrade, made my day !!",positive,Delta
1076,Really impressed with @American customer service this week !!,positive,American
1495,My @Delta flight was overbooked and they bumped me without warning !!,negative,Delta
1457,"@United cancelled my flight with no notice, absolutely furious !!",negative,United
1394,Best airline experience in years thank you @United team #travel,positive,United
1350,"@US Airways upgraded me for free, what a great surprise, flying again soon",positive,US Airways
2001,"@US Airways website was down earlier, back up now I think #travel",negative,US Airways
2145,"@United flight was pretty average, nothing special either way !!",neutral,United
1009,Huge thanks to @United for the smooth check-in and on-time departure #travel,positive,United
2363,"flight was delayed but @American crew apologized and gave snacks, decent recovery",positive,American
2332,"flight was delayed but @United crew apologized and gave snacks, decent recovery !!",positive,United
1707,"Rude staff at @American check-in counter, never flying them again !!",negative,American
1347,"Kudos to @JetBlue staff, so friendly and helpful during my trip !!",positive,JetBlue
1575,@JetBlue customer service put me on hold for 2 hours,negative,JetBlue
1289,Best airline experience in years thank you @US Airways team,positive,US Airways
1411,Really impressed with @Delta customer service this week,positive,Delta
1573,"worst experience with @US Airways, missed my connection because of them",negative,US Airways
1028,"@Southwest handled my delay well, free snacks and great communication",positive,Southwest
1428,"Rude staff at @American check-in counter, never flying them again",negative,American
1987,"Checked in for my @Delta flight, boarding starts at noon",neutral,Delta
1171,@American flight attendants went above and beyond today !!,positive,American
1274,"honestly @Delta did a great job today, no complaints at all",positive,Delta
1235,Just landed with @JetBlue and the crew was amazing! Best flight ever,positive,JetBlue
1321,Best airline experience in years thank you @JetBlue team #travel,positive,JetBlue
2011,"@American website was down earlier, back up now I think !!",neutral,American
2119,Question for @Delta can I change my seat assignment online !!,neutral,Delta
1917,"Rude staff at @United check-in counter, never flying them again #travel",negative,United
1330,"shoutout to @Delta for the free upgrade, made my day !!",positive,Delta
1703,@Southwest customer service put me on hold for 2 hours,negative,Southwest
1242,@United flight attendants went above and beyond today #travel,positive,United
2199,Looking at @American fares for a trip next month,neutral,American
1931,Flying @Southwest tomorrow morning to Chicago for a work trip,neutral,Southwest
1877,"Sitting on the tarmac for 3 hours with @US Airways, this is ridiculous",negative,US Airways
1169,Just landed with @US Airways and the crew was amazing! Best flight ever,positive,US Airways
1441,"@American crew was so rude to an elderly passenger, unacceptable #travel",negative,American
1984,Looking at @Delta fares for a trip next month,neutral,Delta
1849,"worst experience with @JetBlue, missed my connection because of them",negative,JetBlue
1430,"@JetBlue crew was so rude to an elderly passenger, unacceptable !!",negative,JetBlue
1669,"Rude staff at @Southwest check-in counter, never flying them again #travel",negative,Southwest
1471,My @US Airways flight was overbooked and they bumped me without warning,negative,US Airways
2357,"not the smoothest trip but @JetBlue staff tried their best, appreciate it",positive,JetBlue
2064,@US Airways plane just pushed back from the gate #travel,neutral,US Airways
1517,"@American crew was so rude to an elderly passenger, unacceptable",negative,American
1848,"Sitting on the tarmac for 3 hours with @United, this is ridiculous",negative,United
2367,"flight was delayed but @United crew apologized and gave snacks, decent recovery",positive,United
2336,"not the smoothest trip but @United staff tried their best, appreciate it #travel",positive,United
2110,anyone else flying @American out of gate 22 today #travel,positive,American
1772,"Rude staff at @US Airways check-in counter, never flying them again !!",negative,US Airways
1785,Never flying @JetBlue again after how they treated my family today,negative,JetBlue
1548,Paid extra for @Southwest and still got squished in a tiny seat,negative,Southwest
2230,@United plane just pushed back from the gate,neutral,United
1157,"@JetBlue made my trip so easy, appreciate the effort !!",neutral,JetBlue
1500,My @US Airways flight was overbooked and they bumped me without warning !!,negative,US Airways
1909,"@Delta crew was so rude to an elderly passenger, unacceptable #travel",negative,Delta
2392,"@Delta flight, some good some bad, about what I expected honestly",neutral,Delta
